experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
1,525,3,astar,H3,,resuelto,24,1131,3037,0,6,671,1132,1802,27.98828125,15.625,18.936800013761967
1,867,3,astar,H3,,resuelto,23,459,1229,0,0,287,460,746,27.98828125,15.625,8.17109999479726
1,11,3,astar,H3,,resuelto,20,264,704,0,0,165,265,429,27.98828125,0.0,2.8836999845225364
1,204,3,astar,H3,,resuelto,17,203,550,0,0,131,204,334,27.98828125,0.0,2.1603000059258193
1,817,3,astar,H3,,resuelto,20,306,819,0,4,186,307,492,27.98828125,0.0,4.613900004187599
1,521,3,astar,H3,,resuelto,21,415,1126,0,3,277,416,692,27.98828125,15.625,4.985899984603748
1,69,3,astar,H3,,resuelto,25,606,1599,0,0,347,607,953,27.98828125,0.0,6.695099989883602
1,8,3,astar,H3,,resuelto,26,2817,7517,0,15,1576,2818,4391,27.98828125,46.875,42.83050002413802
1,750,3,astar,H3,,resuelto,20,553,1478,0,4,332,554,885,27.98828125,0.0,6.955100019695237
1,492,3,astar,H3,,resuelto,24,1701,4545,0,11,981,1702,2682,27.98828125,31.25,21.17799999541603
1,197,3,astar,H3,,resuelto,20,76,207,0,0,54,77,130,27.98828125,0.0,0.920199992833659
1,746,3,astar,H3,,resuelto,23,826,2190,0,1,477,827,1303,27.98828125,0.0,9.11040001665242
1,854,3,astar,H3,,resuelto,24,769,2050,0,0,460,770,1229,27.98828125,15.625,9.520499996142462
1,245,3,astar,H3,,resuelto,21,421,1145,0,1,272,422,693,27.98828125,0.0,4.859800013946369
1,108,3,astar,H3,,resuelto,17,76,205,0,0,53,77,129,27.98828125,0.0,0.922699982766062
1,251,3,astar,H3,,resuelto,24,532,1408,0,0,304,533,836,27.98828125,15.625,6.99309998890385
1,520,3,astar,H3,,resuelto,20,122,320,0,0,75,123,197,27.98828125,0.0,1.3553999888245016
